CUSTOMER_ID,DATE,QUANTITY,AMOUNT
1644500145290-8549557307644808820,2022-02-10,1,5.99
1644516722733-4894281195567006175,2022-02-12,1,5.99
1644561756012-1047629243268975276,2022-02-11,1,5.99
1644594950734-1232083486375655920,2022-02-11,1,5.99
1644611663652-4831150961005512272,2022-02-12,1,5.99
1644618639748-9070298067958466039,2022-02-13,1,5.99
1644672592759-1985546517566831727,2022-02-12,1,5.99
1644675062708-3334430638042719706,2022-02-12,1,5.99
1644692777972-3798059395790095171,2022-02-12,1,5.99
1644693646080-1539286708688469992,2022-02-12,1,5.99
1644716261692-8948038689471067261,2022-02-13,1,5.99
1644727926147-243175945623363006,2022-02-13,1,5.99
1644798722355-244081877931466286,2022-02-14,1,5.99
1644804739365-5860253933602921460,2022-02-14,1,5.99
1644805447840-3077726323120016226,2022-02-14,1,5.99
1644809591656-2497210306474635434,2022-02-14,1,5.99
1644894900587-4264794585126130871,2022-02-15,1,5.99
1644906667457-21569437954768629,2022-02-15,1,5.99
1644961542433-1463142299752169601,2022-02-16,1,5.99
1644977742007-8397568250140973692,2022-02-16,1,5.99
1644984054518-48133805005113694,2022-02-20,1,5.99
1645054925208-1699000428015888547,2022-03-16,1,5.99
1645138830256-5695036283118551959,2022-02-17,1,5.99
1645151805180-300439224668456858,2022-02-18,1,5.99
1645402956868-7106064288782744308,2022-02-21,1,5.99
1645412516726-9033219575051567400,2022-02-21,1,5.99
1645495414836-6027647603891721385,2022-02-22,1,5.99
1645497823000-7943484771122162850,2022-02-22,1,5.99
1645503840260-2479418187507565345,2022-02-25,1,5.99
1645534797217-2894381605208802654,2022-02-22,1,5.99
1645580816924-1832800615267369763,2022-02-23,1,5.99
1645581121539-4123019785374046925,2022-02-23,1,5.99
1645628906850-1834721955621134678,2022-02-23,1,5.99
1645668517549-7969072146540915057,2022-03-04,1,5.99
1645677242055-8086534680711066006,2022-02-24,1,5.99
1645725422127-8541342082239953215,2022-02-24,1,5.99
1645739918872-1994547540458594914,2022-02-24,1,5.99
1645744756388-8457328112856624631,2022-02-24,1,5.99
1645773748101-808993419094333069,2022-02-25,1,5.99
1645906816261-8468152519691069662,2022-02-26,1,5.99
